review_text,rating,summary_text,text_length,clean_review,clean_length
THE NAME OF ITSELF SPEAKS OUT. GO SANDISK GO!,5.0,A RENOUND NAME BRAND,9,name speaks go sandisk go,5
"Solid SDHC card that is fast (at reading and writing) fast (for recording video and pics), has great capacity, and is reasonably priced. I have had no issues with it.Overall, highly recommend.",5.0,Great SDHC card,32,solid sdhc card fast reading writing fast recording video pics great capacity reasonably priced issues itoverall highly recommend,18
"Heard that the card's write speed is insufficient, however I have used it extensively and haven't had a single problem with it!!",5.0,Use it for my GoPro Hero 3+ Black,22,heard cards write speed insufficient however used extensively havent single problem,11
"I bought this to use with my go pro hero 3 black edition. It requires a class 10 MicroSDXC card. So far I've had no issues with it. Fast read/write, came with adapter, small packaging, but that's all it needed! Comes with a nice hard plastic case to keep both dry and together if needed.",5.0,"Awesome price, great brand name",55,bought use go pro hero black edition requires class microsdxc card far ive issues fast readwrite came adapter small packaging thats needed comes nice hard plastic case keep dry together needed,31
got this because i had a 2 GB one that filled up. i kept getting the insufficient disk space on my phone. my kids take my phone and do selfies. mostly my daughter. I had to get a bigger card. the 2GB one was a carry over from an old phone.needless to say this was sweet. plenty of space. and i dont have to delete pictures anymore. well for now at least.my daughter loves selfies.,5.0,great price. fast,75,got gb one filled kept getting insufficient disk space phone kids take phone selfies mostly daughter get bigger card gb one carry old phoneneedless say sweet plenty space dont delete pictures anymore well leastmy daughter loves selfies,37
"Class 10 Speed Rating for Seamless Full HD VideoThe SanDisk Ultra UHS-I card features a Class 10 and UHS Speed Class 1 (U1) rating, the highest video performance available for recording uninterrupted Full HD** video.Flawless App PerformanceThis card can retrieve stored data almost instantly, thanks to its up to 30MB/s read capability and fast bus interface. The SanDisk Ultra microSDHC and microSDXC UHS-I cards offer faster app loading and smoother, more fluid app performance.Storage Capacities Up to 64GBThis card has plenty of room to accommodate Full HD videos, MP3s, apps, and other memory-intensive mobile files. Available in sizes up to 64GB, it can store all the apps, music, and video you want.Android App for Easy File ManagementThe included SanDisk Memory Zone app lets you easily view, access, and backup all of your digital files from your phone's memory, additional memory card, and cloud service all in one convenient place. Using the app, you can easily move files from your card to a number of cloud storage services.Durable DesignSanDisk Ultra UHS-I memory cards can capture memories from -13 to 185 degrees Fahrenheit with a shockproof, waterproof, and X-ray-proof design. Your mobile device may not survive, but your SanDisk memory card will.",5.0,Get Fast Load Times,200,class speed rating seamless full hd videothe sandisk ultra uhsi card features class uhs speed class u rating highest video performance available recording uninterrupted full hd videoflawless app performancethis card retrieve stored data almost instantly thanks mbs read capability fast bus interface sandisk ultra microsdhc microsdxc uhsi cards offer faster app loading smoother fluid app performancestorage capacities gbthis card plenty room accommodate full hd videos mps apps memoryintensive mobile files available sizes gb store apps music video wantandroid app easy file managementthe included sandisk memory zone app lets easily view access backup digital files phones memory additional memory card cloud service one convenient place using app easily move files card number cloud storage servicesdurable designsandisk ultra uhsi memory cards capture memories degrees fahrenheit shockproof waterproof xrayproof design mobile device may survive sandisk memory card,134
The read and write speeds are better than the Samsung SD card that I had previously. I would not hesitate to buy another one of these great Micro SD cards from SanDisk. I also own their Clip plus MP3 player and it works very well. I think I'm becoming a fan of the SanDisk products.,5.0,Very good little Micro SD card,55,read write speeds better samsung sd card previously would hesitate buy another one great micro sd cards sandisk also clip plus mp player works well think im becoming fan sandisk products,31
This works with the NL1520.  No video stuttering like with the 64gb.  Blah blah blah blah to fill in the rest.,5.0,works,21,works nl video stuttering like gb blah blah blah blah fill rest,12
Works as expected.  High transfer speed.  Nice to have extra microSD adapters lying around since I always seem to misplace them.  Mainly bought it to use in my Nikon DSLR since I can put the card directly into my (CM modded) Nook HD+ tablet in the field and view my images on a larger screen.,5.0,Works,55,works expected high transfer speed nice extra microsd adapters lying around since always seem misplace mainly bought use nikon dslr since put card directly cm modded nook hd tablet field view images larger screen,34
"Works great in a Samsung Galaxy S3.  Formatted straight away, full size there.  I can't really tell the speed difference between this one and a slower card it replaced.  I guess the IO in the phone can't take advantage.",5.0,Good with Galaxy S3,39,works great samsung galaxy formatted straight away full size cant really tell speed difference one slower card replaced guess io phone cant take advantage,24
SanDisk never disappoints. As always SanDisk products are worth every penny. Nice product and quality and works great. I recommend this product to everyone.,5.0,Never disappoints,24,sandisk never disappoints always sandisk products worth every penny nice product quality works great recommend product everyone,17
"Good price, works flawless in my Samsung S4! Normal SanDisk quality! That is why I go with this brand and only this brand..",5.0,Great,23,good price works flawless samsung normal sandisk quality go brand brand,11
San disk is hard to beat.  You will pay more for the brand but you get a quality product.  Would purchase again.,5.0,Perfect,22,san disk hard beat pay brand get quality product would purchase,11
Installed in my Blackberry Q10 SQN100-1 and formatted. Works just fine. Plenty of storage space for pictures and videos of my son at the park.,5.0,It does the job.,25,installed blackberry q sqn formatted works fine plenty storage space pictures videos son park,14
"I just received my card, it is the class 10 64GB with the correct serial#SDSDQUA-064G-A11A. I received it in an unopened SanDisk packaging. I am going to use it on my HTC Rezound, I hope it works. From what I have read, it will work after reformatting the disk. I will update this review if I have any issues using it, if not, my rating will remain unchanged...",5.0,64 GB,68,received card class gb correct serialsdsdquagaa received unopened sandisk packaging going use htc rezound hope works read work reformatting disk update review issues using rating remain unchanged,27
"Stuck it in my S2, formatted in settings, works great! Already filled with music, pics and videos...  Get this card, format it right, and you'll have no problems.  If your phone won't do it right, should have got a Samsung! haha...",5.0,Perfect and Fast in my S2!!,41,stuck formatted settings works great already filled music pics videos get card format right youll problems phone wont right got samsung haha,22
"I purchased two of these one for my Samsung tablet and one for my samsung galaxy note. Great hardware that is truly speedy, responsive and meets my needs!",5.0,Great product!,28,purchased two one samsung tablet one samsung galaxy note great hardware truly speedy responsive meets needs,16
"As advertised, specs match.  As long as the device you as using it in can handle it (i.e. USB 3.0, not some crapple bs) it delivers the advertised speed.  P.S. The speed is READ, not WRITE, but you knew that, right?",5.0,Works.,41,advertised specs match long device using handle ie usb crapple bs delivers advertised speed ps speed read write knew right,20
This item is great!  I can't believe how small it is.  Imagine 64gb this size back in the 70's when they had whole buildings full of computers that couldn't pack this much space!  Great item.,5.0,Great Product!!!,35,item great cant believe small imagine gb size back whole buildings full computers couldnt pack much space great item,19
"I've been trying for a while to get a hold of a 32GB Micro SD for my phone and tablet.  It's pretty fast compared to the 16GB cards I've been using.  I really saw the performance boost with my phone, which I have many apps, pictures, music, and other documents on.  The phone boots fully stable in about 2 mins as apposed to 5-6 mins.  My computer also can write to these cards much faster than the 16GB ones I was using.  If you phone, tablet or any other device can support it I recommend you purchase these.  Also you pay like half the price using Amazon as opposed to other retail stores who's price is at least double or more.  I've seen these same cards going for about $72 in my area.",5.0,Great Micro SD card,133,ive trying get hold gb micro sd phone tablet pretty fast compared gb cards ive using really saw performance boost phone many apps pictures music documents phone boots fully stable mins apposed mins computer also write cards much faster gb ones using phone tablet device support recommend purchase also pay like half price using amazon opposed retail stores whos price least double ive seen cards going area,67
"I bought 2 of those SanDisk 32 GB microSD , used them on my Galaxy Note and Galaxy S4First one , my phone started saying it was removed , then recognize it again :) then diedI thought it's just a luck , plugged in the 2nd one :) stayed for about 2 months and died suddenly ! and lost everythingnever buying from SanDisk again .. ever",1.0,Bought 2 :) Died,66,bought sandisk gb microsd used galaxy note galaxy sfirst one phone started saying removed recognize diedi thought luck plugged nd one stayed months died suddenly lost everythingnever buying sandisk ever,30
The memory card is an excellent condition and work as described. Dependable and easy to use. An excellent choice for the enthusiast who requires more storage.,4.0,Excellent product.,26,memory card excellent condition work described dependable easy use excellent choice enthusiast requires storage,14
I've got a couple of these in varying sizes. I've had no problems and no complaints about speed. I always end up buying more because the prices are so low for what you get.,5.0,several sizes. zero issues.,34,ive got couple varying sizes ive problems complaints speed always end buying prices low get,15
I only had 8 gigs of memory on my Note 2 and was running out of room. Now I have so much memory space available I don't know what to do with it.,5.0,Great card,33,gigs memory note running room much memory space available dont know,11
Bought it for my Surface Pro. I've had it in there for a few months and I've had no problems. Very fast and stable.,5.0,Works great!,24,bought surface pro ive months ive problems fast stable,9
I would recommend this card to everyone.Data Transfer speeds - excellent with this card on my Galaxy S2.  Didn't need to format the card or anything. I am 100% satisfied.,5.0,100% satisfied. Recommend to all.,30,would recommend card everyonedata transfer speeds excellent card galaxy didnt need format card anything satisfied,15
"I bougth this micro SD card after some trubles with other that i got from Kingston, i can tell that SanDisk is other quality, this is the best, my i9300 phone can read a 64GB very fast, the dta transfer speed from my pc to my is amazing, if you are looking for additional storage to you phone, for music, pictures and other type of files, this is for you.Pros-Very good quality materials of construction-Amazing speedUpdate after one year this memory is damaged I can not delete or put new files on it, I can not format this memory, I tried to format with my phone, with my pc, with a camera and nothing, now this is like a 64gb cd, the data in the memory is only available to read but I can not move, or delete it, I bought this memory to be used to backup all my data of my android device but now is only a readable memory I can not write data on it any more, I hope sandisk make a better products in the future!!! Total disagree I will buy a Samsung memory card expected a better quality.",1.0,Stop working after 1 year,194,bougth micro sd card trubles got kingston tell sandisk quality best phone read gb fast dta transfer speed pc amazing looking additional storage phone music pictures type files youprosvery good quality materials constructionamazing speedupdate one year memory damaged delete put new files format memory tried format phone pc camera nothing like gb cd data memory available read move delete bought memory used backup data android device readable memory write data hope sandisk make better products future total disagree buy samsung memory card expected better quality,85
"Using this in a contout gps camera,  don't waste your time buying any other brand it will be a waste. Buy the best to start with.",5.0,crazy fast,26,using contout gps camera dont waste time buying brand waste buy best start,13
"This is a fantastic little drive, has all the gigabytes it says, works in all ways I can discern and I use it to hold the flac recordings I play on my excellent Fiio X5 digital audio player. This is the real thing and not one of the fakes that, evidently, are out there.",5.0,This is a fantastic little drive,54,fantastic little drive gigabytes says works ways discern use hold flac recordings play excellent fiio x digital audio player real thing one fakes evidently,24
"I am very happy with this Micro SD.  I could tell the difference in the response time in my BB curve as well as my Asus tablet.  If you want something that can transfer files Photos, Videos, and Music faster this is the Micro SD card for you. Now I will say this there are faster cards out there but not at this price.  This does the trick for my devices.  Now it you are a Professional Photographer you might want to go with the Ultra 3 Micro SD but if you are an everyday user this will work wonders for you device.",5.0,Verry happy,103,happy micro sd could tell difference response time bb curve well asus tablet want something transfer files photos videos music faster micro sd card say faster cards price trick devices professional photographer might want go ultra micro sd everyday user work wonders device,43
"I've purchased several of these little babies over the years, and I always buy SanDisk. I've never had one fail, the price is great for the amount of storage you get.",5.0,SanDisk quality,31,ive purchased several little babies years always buy sandisk ive never one fail price great amount storage get,18
"Ordered this for a Galaxy S3.  Lasted a few months and then broke.  Is not accessible on several different PC's.Says ""limited lifetime"" warranty - BS.  You have ONE MONTH for Eco Zone.  Not only did I lose pictures but now I am out $$ because of a crappy return policy.In the future I will be buying Kingston, not Sandisk.-----------------Update:  Amazon Customer service made good and refunded my purchase price.  I still will not be buying any more Sandisk memory cards however...",1.0,Beware... goes bad and takes your pics with it,81,ordered galaxy lasted months broke accessible several different pcssays limited lifetime warranty bs one month eco zone lose pictures crappy return policyin future buying kingston sandiskupdate amazon customer service made good refunded purchase price still buying sandisk memory cards however,40
"more like 8mb/s in my Note 10.1 and that's using SanDisk's own app. A bit faster in my Note II, but still a disappointment for devices with quad core processors. Not sure if it's the card or the device, so benefit of the doubt and four stars.",4.0,Not bad,47,like mbs note thats using sandisks app bit faster note ii still disappointment devices quad core processors sure card device benefit doubt four stars,24
"not much to say other than plug and play, good quality and fits a lot of video ...good good good",5.0,good,20,much say plug play good quality fits lot video good good good,12
"A new camcorder required fast SD (micro) and SanDisk products have always provided first class service, so the extra cost is well worth it.",5.0,"Fast, very fast",24,new camcorder required fast sd micro sandisk products always provided first class service extra cost well worth,17
"This tiny marvel does what it claims.  The only possible problem is that it is SO small that you may lose it if you happen to drop it during handling.  But with 16 GB capacity, you won't be handling it often.",5.0,"Very small, huge capacity",41,tiny marvel claims possible problem small may lose happen drop handling gb capacity wont handling often,16
It does the job and the price was right. It came quickly so I'm very happy for the purchase.  I would recommend it and would but it again.,5.0,Works great,28,job price right came quickly im happy purchase would recommend would,11
"I used this for a few months in my phone, then it decided to quit mounting. I lost some pictures of pets who died shortly after. I got a replacement card, but I had to send in the old one, giving up any chance of recovering its contents. The new one's worked fine, but failing after 3 months in inexcusable.",2.0,Worked for a few months,60,used months phone decided quit mounting lost pictures pets died shortly got replacement card send old one giving chance recovering contents new ones worked fine failing months inexcusable,28
"A memory card either works or it doesn't. This was always going to be a one star or five star review - no middle ground.The adapter is a nice bonus too, though I don't think I have anything to use it with.",5.0,"It works, what else is there?",42,memory card either works doesnt always going one star five star review middle groundthe adapter nice bonus though dont think anything use,22
"I purchased this card to use in my ContourROAM2 and it works great.  All I had to do was put the card in the camera, format it, and I was good to go.  It allows me to easily record hours of 720p/60fps video without running out of space or slowing down.",5.0,Great MicroSDHC Card,51,purchased card use contourroam works great put card camera format good go allows easily record hours pfps video without running space slowing,22
Upgraded from 32GB to 64GB card for my Galaxy Note phone.  Looks like it works fine and has full capacity.  Good product.,5.0,Works fine in my Galaxy Note phone from AT&T,22,upgraded gb gb card galaxy note phone looks like works fine full capacity good product,15
"everything about it was great, except for the adapter.  It was to tight i had to use a tool to take it back out of the adapter causing me to chip it. so my fault i guess, but i also bought a 16gb version and the adapter for that one was fine.",4.0,Great but...,52,everything great except adapter tight use tool take back adapter causing chip fault guess also bought gb version adapter one fine,21
"Liked the first one I purchased so much, I bought a second one. Very, very fast read and write speeds at a good price, plus SanDisk has the best software and device compatibility.  Forget thumb drives - this is your most flexible, durable option.  Use direct in your tablet or smart phone and/or buy a decent usb card reader you can load this in and, voila, instant super-speedy, upgradeable thumb drive.  Works great in my tablet and in my newer card reader - and still kicks the butt of every thumb drive I know of even when used with my old plastic USB 2.0 card reader held together with scotch tape, lol.  Have purchased several microSD cards since they first came out, from 2GB to 32GB, and all still work fine - I cannot say the same re the thumb drives I purchased during that same time period.One point - beware of counterfeits.  Samsung is the number one brand so, unfortunately, they get counterfeited a LOT.  So check reviews and only buy from a reliable seller.  I suggest buying direct from Amazon (or Memory Mogul) - I have purchased from both with no issues.",5.0,"Fast, reliable, compatible, buy it direct from Amazon or Memory Mogul to avoid counterfeits",194,liked first one purchased much bought second one fast read write speeds good price plus sandisk best software device compatibility forget thumb drives flexible durable option use direct tablet smart phone andor buy decent usb card reader load voila instant superspeedy upgradeable thumb drive works great tablet newer card reader still kicks butt every thumb drive know even used old plastic usb card reader held together scotch tape lol purchased several microsd cards since first came gb gb still work fine cannot say thumb drives purchased time periodone point beware counterfeits samsung number one brand unfortunately get counterfeited lot check reviews buy reliable seller suggest buying direct amazon memory mogul purchased issues,112
Really you can't say anything bad about it. Does what it says. Super fast and great storage size for lots of movies and such.,5.0,Works as advertised with no problems whatsoever.,24,really cant say anything bad says super fast great storage size lots movies,13
"Used in my phone it's plenty fast and works just like it should. Unexpectedly comes with mini and full SD card size adapters, which is nice. &#34;Fool-proof&#34; packaging or whatever it was, that was laughable. Packaging was decent it just shouldn't have bragged about being impossible to mess up when I messed it up.",4.0,Works just like it should in my phone,54,used phone plenty fast works like unexpectedly comes mini full sd card size adapters nice foolproof packaging whatever laughable packaging decent shouldnt bragged impossible mess messed,26
This is just the standard micro SD card i would recommend this to anyone. i purchased this for my dad who is using it to expand the memory on his tablet! it shipped fast and is a slight bit cheaper than in the stores i believe.,5.0,just the standard micro sd,46,standard micro sd card would recommend anyone purchased dad using expand memory tablet shipped fast slight bit cheaper stores believe,20
"I ordered this for my new Samsung Galaxy note II, and it works awesome! Installed it, and had no problems. I loaded all my music on it, and didn't even scratch the surface of the capacity of this card! I shouldn't ever have to worry about running outta room with this card. Highly recommended for any smartphone user!",5.0,Awesome micro sd card for smartphone.,58,ordered new samsung galaxy note ii works awesome installed problems loaded music didnt even scratch surface capacity card shouldnt ever worry running outta room card highly recommended smartphone user,29
Great Deal and much faster file movement.Definitely worth the purchase and sandisk has proved why they have good products.,5.0,Awesome!!!,19,great deal much faster file movementdefinitely worth purchase sandisk proved good products,12
"You'll pay $10 more for these anywhere else. I was initially leery of buying another SD card on amazon. 4 years ago I did so, and the card was a fake (said it had 32 gigs when plugged into the computer, but you could only load about 11 onto it, and it would say &#34;full.&#34; Apparently there's a way to fool your computer into thinking there's more space than there is, and this is what the fake/counterfeit cards will do).Not so with this one. It's the real deal, genuine SanDisk, and contains as many GB as it says it does. I'm a very pleased customer.",5.0,Great product at a great price.,105,youll pay anywhere else initially leery buying another sd card amazon years ago card fake said gigs plugged computer could load onto would say full apparently theres way fool computer thinking theres space fakecounterfeit cards donot one real deal genuine sandisk contains many gb says im pleased customer,48
"Use this in my Samsung Galaxy S4.  Have had it for almost a year now, no problems, really expands your memory capabilities, easy enough to install.",5.0,Works well with Samsung Galaxy S4,26,use samsung galaxy almost year problems really expands memory capabilities easy enough install,13
"32gb of storage for my new Asus tablet, what's not to love? I can't imagine paying more for the model with the upgraded storage, especially since it's usually like $100 more. This thing was cheap and works great.",5.0,Cheap and awesome.,38,gb storage new asus tablet whats love cant imagine paying model upgraded storage especially since usually like thing cheap works great,21
"excellent quality, excellent speed. no complaints here. very easy to use, reliable and the red stripe on the front makes it easy to find on a crowded desk",5.0,"excellent quality, excellent speed",28,excellent quality excellent speed complaints easy use reliable red stripe front makes easy find crowded desk,16
"This card advertises itself as UHS1 but it's actually UHS50.This means that it will not go up to SDR104 speeds/throughput.Not necessary bad, just false advertising.",3.0,only capable of doing DDR50/SDR50 max,25,card advertises uhs actually uhsthis means go sdr speedsthroughputnot necessary bad false advertising,13
"Purchase for HP tablet to have more memory for music download, pictures, and video.  Have enough room to store and some memory left over.",5.0,HP tablet use,24,purchase hp tablet memory music download pictures video enough room store memory left,13
"Can there be anything wrong with a sandisk product?  the items read to it sooooo quickly, I am quite happy,",5.0,love it,20,anything wrong sandisk product items read sooooo quickly quite happy,10
A lot of people want big memory which is fine. But you need to look at speed class. This one is class 10. Which is great when your taking pictures or video. It will not freeze because it can move the MB/s fast enough. Lesser speed cards will freeze or will say waiting for camera and you will miss the moment. Its also a Sandisk which is a name you can trust when it come to memory cards.,5.0,Great memory card!,78,lot people want big memory fine need look speed class one class great taking pictures video freeze move mbs fast enough lesser speed cards freeze say waiting camera miss moment also sandisk name trust come memory cards,37
"fast transfer rates, I downloaded about 2GB of videos form the card to my laptop through a card reader, all in about a minute",5.0,fast transfer rates,24,fast transfer rates downloaded gb videos form card laptop card reader minute,12
"There is something to be said about SanDisk. You plug it in and it just works. I've never had one be DOA or any memory issues throughout the years, both for my camera and storage products. I installed this in my Galaxy SIII and it recognized it right away and I was able to dump my music onto it. Speed seems great as well, no complaints.",5.0,"It works, like all SanDisk memory products",66,something said sandisk plug works ive never one doa memory issues throughout years camera storage products installed galaxy siii recognized right away able dump music onto speed seems great well complaints,31
"How do I praise extra memory? It fills my MP3 player with every song my heart desires, the sound quality is perfect. The ease of use is superb. It's great.",5.0,"Good price, great product",30,praise extra memory fills mp player every song heart desires sound quality perfect ease use superb great,17
"All though it states 16gig it only has 14.8gig available but I know that happens and expected it, keep this in mind if your wanting more storage you might want to order the 32gig card.  It was exactly what i expected and needed so no complaints.",5.0,Just as described,46,though states gig gig available know happens expected keep mind wanting storage might want order gig card exactly expected needed complaints,21
"does the job as advertised.if you need extra memory on your phone/tablet or whatever device, this is bext buy(price/quality)",5.0,does the job.,19,job advertisedif need extra memory phonetablet whatever device bext buypricequality,10
Needed for my cell phone - works perfectly.  SanDisk has never been a disappointment in the 30 plus years I've been in IT/computer work.,5.0,SanDisk,24,needed cell phone works perfectly sandisk never disappointment plus years ive itcomputer work,13
"Priced right, this memory card also reads and writes fast. It's a noticeable difference over cheaper cards. I put it in my phone and plan to buy another one for my tablet.",5.0,Good deal!,32,priced right memory card also reads writes fast noticeable difference cheaper cards put phone plan buy another one tablet,19
"works great on my sprint htc evo 4g lte.  Formatted w/ fat32 so of course the maximum file size is 4gb meaning no full length hidef movies.  However, this isn't a problem;  I bought the card for putting a music library on my phone.Like all class 10 micro-sdhc cards, it does NOT do 10MB/s, but it's closer than any other class 10 card I've ever tried.  Most do 3-4MB/s.  Kingston 32GB did 7MB/s.  This card does about 8-9MB/s.Can't wait till 128GB and 256GB cards become available and affordable.",5.0,works great with htc evo 4g lte,88,works great sprint htc evo g lte formatted w fat course maximum file size gb meaning full length hidef movies however isnt problem bought card putting music library phonelike class microsdhc cards mbs closer class card ive ever tried mbs kingston gb mbs card mbscant wait till gb gb cards become available affordable,53
